loss,components
251874.445925929,0
205811.35476732,1
184354.931361271,2
166625.179955745,3
152383.082314037,4
139758.776758399,5
130484.936841049,6
122265.762882162,7
114497.84130406,8
107668.470697812,9
101611.107394499,10
96224.3894344592,11
91307.8292654591,12
87228.6635036029,13
83528.4668441709,14
80003.6962291146,15
76746.084838524,16
73649.5330701466,17
70875.916601783,18
68164.034595404,19
65523.8040063494,20
63034.7074348581,21
60609.6146873778,22
58648.6403986568,23
56718.9713534127,24
54828.9878796995,25
53046.1768479105,26
51337.3569778173,27
49714.4791821761,28
48188.4507669297,29
46719.5176266225,30
45317.4459400022,31
43993.3389681079,32
42677.1483251355,33
41457.0858270581,34
40274.736981701,35
39098.5742098234,36
37975.5571544422,37
36905.1509468787,38
35873.1821477276,39
34893.7342212578,40
33934.2457393679,41
33013.1395862487,42
32129.3867168863,43
31298.3611673599,44
30496.079868464,45
29705.2468929753,46
28959.1506538297,47
28225.808322181,48
27515.1495699816,49
26845.237610495,50
26189.9726386448,51
25551.197616671,52
24927.0677531174,53
24333.6328911887,54
23754.3463378263,55
23197.4346686622,56
22676.8980946039,57
22160.9616446507,58
21661.5791804395,59
21172.4775296683,60
20688.1251237981,61
20220.0947476294,62
19771.9503102388,63
19326.9867745922,64
18891.7474113831,65
18476.6938342776,66
18075.0574810763,67
17685.7403916167,68
17322.0742948841,69
16960.7527154979,70
16603.5671294913,71
16256.2184780049,72
15914.1876106701,73
15581.6639076323,74
15262.4850108603,75
14950.3697618347,76
14643.0961253237,77
14343.6737083916,78
14057.6831494879,79
13780.2270848324,80
13505.1650122425,81
13233.3561472659,82
12970.5952064412,83
12717.1448294468,84
12466.8662666451,85
12224.2296970679,86
11985.1323921301,87
11750.8268907987,88
11522.9217472084,89
11296.098322183,90
11077.1843488003,91
10861.6286889073,92
10648.9014834233,93
10441.3753142806,94
10241.3217279916,95
10044.3931864466,96
9850.23692214478,97
9658.66811059999,98
9473.66544181733,99
9293.44602499097,100
9114.56656596507,101
8937.21694131875,102
8763.76016986554,103
8594.47286408296,104
8428.6082669999,105
8263.65795072668,106
8101.31229555441,107
7942.92376968135,108
7787.54507931983,109
7637.52541975501,110
7488.28200273831,111
7341.76943851659,112
7196.52861766792,113
7057.80866846857,114
6921.64622308412,115
6788.04957540196,116
6655.54538475941,117
6526.74397274648,118
6401.29072836878,119
6277.28328473869,120
6154.81020342434,121
6035.09470685638,122
5918.15529934195,123
5802.1495708135,124
5688.50587130328,125
5576.200328312,126
5467.75657816729,127
5360.30138484007,128
5254.32752193425,129
5150.02659614469,130
5046.22155045699,131
4945.69781680288,132
4846.46021895867,133
4748.7387259854,134
4651.75300981419,135
4556.76472985091,136
4464.68461587227,137
4373.63793784788,138
4283.87299694979,139
4196.68623216706,140
4110.25372496127,141
4025.55677819323,142
3941.72223750344,143
3859.2682585119,144
3777.39135923923,145
3697.35819046982,146
3618.17766130126,147
3539.98342353654,148
3462.83854923739,149
3388.36334453678,150
3314.54647222645,151
3241.89516212331,152
3169.73114328756,153
3099.10609630991,154
3030.00274989267,155
2961.89968205223,156
2895.20329048617,157
2828.89666213075,158
2764.55852772407,159
2700.84233152208,160
2638.07239285851,161
2576.93739574471,162
2517.08569745311,163
2457.4129232775,164
2398.76828629657,165
2341.87124119777,166
2285.38271490473,167
2230.40461953626,168
2176.37054798139,169
2122.76089432002,170
2069.65505466631,171
2018.19149488234,172
1967.15983848253,173
1916.98915656639,174
1867.37260133994,175
1818.59356757341,176
1770.32756968944,177
1723.36515827388,178
1676.80860954964,179
1630.73109577936,180
1586.05562345223,181
1542.29629528531,182
1499.31892483114,183
1457.17974939962,184
1415.47677241881,185
1374.40789676108,186
1333.93154718663,187
1294.40912150484,188
1255.13878423911,189
1216.17336019319,190
1178.05139670991,191
1140.62693184153,192
1103.56032765212,193
1066.99134136515,194
1031.01010993676,195
995.562105929708,196
961.600795230331,197
928.058770824898,198
895.429182831904,199
863.794278516558,200
832.53066136525,201
802.053353462452,202
771.849812866971,203
741.849857293421,204
712.605993219642,205
683.921221157734,206
656.02440025212,207
628.696929131325,208
602.122013447316,209
576.336541786092,210
551.51356350048,211
526.931500149864,212
503.143235569703,213
479.670457032175,214
457.022369664922,215
434.732263264241,216
412.927174943769,217
391.210343080089,218
370.269660480846,219
350.746701534211,220
331.763168522156,221
313.370308262264,222
295.771618594622,223
278.86723065382,224
262.387733817654,225
246.602247235783,226
230.864347453579,227
215.269210792484,228
200.672345581555,229
187.000624068253,230
173.527010514476,231
160.773188618096,232
148.178468760719,233
136.208620339748,234
124.427053150099,235
113.46705991419,236
102.931995485662,237
93.129684529393,238
83.5128947012603,239
74.9493354319265,240
66.597939873435,241
58.5285366813507,242
51.1578750486015,243
44.124331527228,244
37.5044541426699,245
31.5036216165367,246
25.6432482186425,247
20.8627830926811,248
16.8338016282611,249
13.0142873714465,250
9.50073551690574,251
6.50826679014177,252
3.77448555604957,253
2.13703570906433,254
0.838734733236726,255
1.65356704192621e-24,256
